group,provider_model,model_name,n,avg_query,avg_response,avg_translation,prompt_tokens,avg_total,sum_total,avg_gt_depth,avg_llm_depth
base,google/gemini-2.0-flash-001_chat,gemini-2.0-flash-001,500,585.814000,58.532000,21.702000,1190,1856.048000,928024,7.584000,6.092000
base,meta-llama/llama-3.1-405b-instruct_chat,llama-3.1-405b,500,517.814000,194.150000,25.166000,1190,1927.130000,963565,7.584000,7.480000
base,openai/gpt-4o_chat,gpt-4o,500,517.814000,235.086000,22.304000,1190,1965.204000,982602,7.584000,6.284000
base_misaligned,google/gemini-2.0-flash-001_chat,gemini-2.0-flash-001,500,604.238000,62.794000,22.868000,1190,1879.900000,939950,7.584000,6.538000
base_misaligned,meta-llama/llama-3.1-405b-instruct_chat,llama-3.1-405b,500,604.238000,82.208000,24.534000,1190,1900.980000,950490,7.584000,7.140000
base_misaligned,openai/gpt-4o_chat,gpt-4o,500,604.238000,59.700000,21.872000,1190,1875.810000,937905,7.584000,6.358000
mystery,google/gemini-2.0-flash-001_chat,gemini-2.0-flash-001,500,438.290000,30.552000,9.278000,1190,1668.120000,834060,7.584000,1.130000
mystery,meta-llama/llama-3.1-405b-instruct_chat,llama-3.1-405b,500,438.290000,35.170000,20.122000,1190,1683.582000,841791,7.584000,4.864000
mystery,openai/gpt-4o_chat,gpt-4o,500,438.290000,30.504000,10.986000,1190,1669.780000,834890,7.584000,1.798000
random,random_blocksworld/google,gemini-2.0-flash-001,500,438.290000,29.190000,14.168000,1190,1671.648000,835824,7.584000,2.794000
random,random_blocksworld/gpt-3.5-turbo-instruct,unknown,500,370.290000,38.408000,0.000000,1190,1598.698000,799349,7.584000,7.582000
random,random_blocksworld/meta-llama,llama-3.1-405b,500,438.290000,37.188000,19.766000,1190,1685.244000,842622,7.584000,4.648000
random,random_blocksworld/openai,gpt-4o,500,438.290000,28.538000,15.120000,1190,1671.948000,835974,7.584000,2.950000
