2026-03-28 21:08:11,270 | pddl_planner.planner | DEBUG | Building SSA for predicate: the agent is holding any objects
2026-03-28 21:08:11,270 | pddl_planner.planner | DEBUG | Building SSA for predicate: block  has no block above it
2026-03-28 21:08:11,273 | pddl_planner.planner | DEBUG | Building SSA for predicate: block  sits directly on the table
2026-03-28 21:08:11,274 | pddl_planner.planner | DEBUG | Building SSA for predicate: block  is directly above block
2026-03-28 21:08:11,276 | pddl_planner.planner | DEBUG | Building SSA for predicate: the agent possesses block
2026-03-28 21:08:11,329 | pddl_planner.planner | INFO | Starting regression | max_depth=4 | time_limit=60 | 4 actions in domain
2026-03-28 21:08:11,329 | pddl_planner.planner | INFO | Depth 0/4 [--------------------] | 0.00s elapsed | 0 nodes in frontier
2026-03-28 21:08:11,329 | pddl_planner.planner | INFO | Predicate "orange is on top of red" (name="is on top of") not in domain — attempting LLM entailment
2026-03-28 21:08:11,329 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:11,330 | pddl_planner.llm | DEBUG | Substitution: {?b2: red, ?b1: orange} between "is on top of(orange, red)" and "block  is directly above block(?b1, ?b2)"
2026-03-28 21:08:11,330 | pddl_planner.llm | DEBUG | Trying 2 substitution permutations for keys [?b2, ?b1]
2026-03-28 21:08:11,331 | pddl_planner.llm | DEBUG | Permutation: (red, orange) for keys [?b2, ?b1]
2026-03-28 21:08:11,331 | pddl_planner.llm | DEBUG | Querying LLM for 5 additional samples
2026-03-28 21:08:12,706 | pddl_planner.llm | DEBUG | API call completed in 1.375s (model=gpt-5.4-mini)
2026-03-28 21:08:14,432 | pddl_planner.llm | DEBUG | API call completed in 1.724s (model=gpt-5.4-mini)
2026-03-28 21:08:15,565 | pddl_planner.llm | DEBUG | API call completed in 1.132s (model=gpt-5.4-mini)
2026-03-28 21:08:16,712 | pddl_planner.llm | DEBUG | API call completed in 1.147s (model=gpt-5.4-mini)
2026-03-28 21:08:18,052 | pddl_planner.llm | DEBUG | API call completed in 1.340s (model=gpt-5.4-mini)
2026-03-28 21:08:18,055 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:18,055 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:18,059 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:18,059 | pddl_planner.llm | DEBUG | Substitution: {} between "is on top of(orange, red)" and "block  is directly above block(orange, red)"
2026-03-28 21:08:18,059 | pddl_planner.llm | DEBUG | Permutation: () for keys []
2026-03-28 21:08:18,059 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:18,059 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:18,059 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:18,061 | pddl_planner.planner | INFO | Predicate "orange is on top of red" (name="is on top of") not in domain — attempting LLM entailment
2026-03-28 21:08:18,061 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:18,061 | pddl_planner.llm | DEBUG | Substitution: {?b2: red, ?b1: orange} between "is on top of(orange, red)" and "block  is directly above block(?b1, ?b2)"
2026-03-28 21:08:18,061 | pddl_planner.llm | DEBUG | Trying 2 substitution permutations for keys [?b2, ?b1]
2026-03-28 21:08:18,061 | pddl_planner.llm | DEBUG | Permutation: (red, orange) for keys [?b2, ?b1]
2026-03-28 21:08:18,062 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:18,062 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:18,062 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
