group,provider_model,model_name,gt_depth,n,n_correct,percent_correct
base,google/gemini-2.0-flash-001_chat,gemini-2.0-flash-001,2,30,12,40.00
base,google/gemini-2.0-flash-001_chat,gemini-2.0-flash-001,4,56,16,28.57
base,google/gemini-2.0-flash-001_chat,gemini-2.0-flash-001,6,114,25,21.93
base,google/gemini-2.0-flash-001_chat,gemini-2.0-flash-001,8,139,23,16.55
base,google/gemini-2.0-flash-001_chat,gemini-2.0-flash-001,10,113,12,10.62
base,google/gemini-2.0-flash-001_chat,gemini-2.0-flash-001,12,46,2,4.35
base,google/gemini-2.0-flash-001_chat,gemini-2.0-flash-001,14,1,0,0.00
base,google/gemini-2.0-flash-001_chat,gemini-2.0-flash-001,16,1,0,0.00
base,meta-llama/llama-3.1-405b-instruct_chat,llama-3.1-405b,2,30,22,73.33
base,meta-llama/llama-3.1-405b-instruct_chat,llama-3.1-405b,4,56,32,57.14
base,meta-llama/llama-3.1-405b-instruct_chat,llama-3.1-405b,6,114,56,49.12
base,meta-llama/llama-3.1-405b-instruct_chat,llama-3.1-405b,8,139,53,38.13
base,meta-llama/llama-3.1-405b-instruct_chat,llama-3.1-405b,10,113,41,36.28
base,meta-llama/llama-3.1-405b-instruct_chat,llama-3.1-405b,12,46,14,30.43
base,meta-llama/llama-3.1-405b-instruct_chat,llama-3.1-405b,14,1,1,100.00
base,meta-llama/llama-3.1-405b-instruct_chat,llama-3.1-405b,16,1,0,0.00
base,openai/gpt-4o_chat,gpt-4o,2,30,17,56.67
base,openai/gpt-4o_chat,gpt-4o,4,56,30,53.57
base,openai/gpt-4o_chat,gpt-4o,6,114,49,42.98
base,openai/gpt-4o_chat,gpt-4o,8,139,43,30.94
base,openai/gpt-4o_chat,gpt-4o,10,113,27,23.89
base,openai/gpt-4o_chat,gpt-4o,12,46,4,8.70
base,openai/gpt-4o_chat,gpt-4o,14,1,0,0.00
base,openai/gpt-4o_chat,gpt-4o,16,1,0,0.00
base_misaligned,google/gemini-2.0-flash-001_chat,gemini-2.0-flash-001,2,30,14,46.67
base_misaligned,google/gemini-2.0-flash-001_chat,gemini-2.0-flash-001,4,56,16,28.57
base_misaligned,google/gemini-2.0-flash-001_chat,gemini-2.0-flash-001,6,114,38,33.33
base_misaligned,google/gemini-2.0-flash-001_chat,gemini-2.0-flash-001,8,139,35,25.18
base_misaligned,google/gemini-2.0-flash-001_chat,gemini-2.0-flash-001,10,113,12,10.62
base_misaligned,google/gemini-2.0-flash-001_chat,gemini-2.0-flash-001,12,46,2,4.35
base_misaligned,google/gemini-2.0-flash-001_chat,gemini-2.0-flash-001,14,1,0,0.00
base_misaligned,google/gemini-2.0-flash-001_chat,gemini-2.0-flash-001,16,1,0,0.00
base_misaligned,meta-llama/llama-3.1-405b-instruct_chat,llama-3.1-405b,2,30,18,60.00
base_misaligned,meta-llama/llama-3.1-405b-instruct_chat,llama-3.1-405b,4,56,37,66.07
base_misaligned,meta-llama/llama-3.1-405b-instruct_chat,llama-3.1-405b,6,114,52,45.61
